Galaxy	D_C	Krep	MaxC
dwarf	0.01	0.01	5.45604297
dwarf	0.01	0.1521428571	3.068305648
dwarf	0.01	0.2942857143	3.303598492
dwarf	0.01	0.4364285714	2.45583808
dwarf	0.01	0.5785714286	2.774879111
dwarf	0.01	0.7207142857	2.044974755
dwarf	0.01	0.8628571429	1.918944387
dwarf	0.01	1.005	4.383155593
dwarf	0.01	1.147142857	2.755742034
dwarf	0.01	1.289285714	2.23596929
dwarf	0.01	1.431428571	1.486000245
dwarf	0.01	1.573571429	1.422788371
dwarf	0.01	1.715714286	1.396779164
dwarf	0.01	1.857857143	1.355050513
dwarf	0.01	2	1.272551117
massive	0.01	0.01	5.34161582
massive	0.01	0.1521428571	8.593009562
massive	0.01	0.2942857143	4.705714648
massive	0.01	0.4364285714	3.533591995
massive	0.01	0.5785714286	3.44952258
massive	0.01	0.7207142857	2.948218324
massive	0.01	0.8628571429	2.964052716
massive	0.01	1.005	6.138950643
massive	0.01	1.147142857	5.273330836
massive	0.01	1.289285714	4.421945345
massive	0.01	1.431428571	5.728235221
massive	0.01	1.573571429	4.977641482
massive	0.01	1.715714286	4.246327463
massive	0.01	1.857857143	3.940738889
massive	0.01	2	3.705425032
dwarf	0.02	0.01	5.218675465
dwarf	0.02	0.1521428571	3.071148249
dwarf	0.02	0.2942857143	3.293852599
dwarf	0.02	0.4364285714	2.568962604
dwarf	0.02	0.5785714286	2.818808063
dwarf	0.02	0.7207142857	2.021485331
dwarf	0.02	0.8628571429	1.899701124
dwarf	0.02	1.005	4.236863262
dwarf	0.02	1.147142857	2.716711243
dwarf	0.02	1.289285714	2.19876571
dwarf	0.02	1.431428571	1.477722461
dwarf	0.02	1.573571429	1.414977065
dwarf	0.02	1.715714286	1.389840808
dwarf	0.02	1.857857143	1.348570805
dwarf	0.02	2	1.267350423
massive	0.02	0.01	5.722388778
massive	0.02	0.1521428571	8.358808208
massive	0.02	0.2942857143	4.725920354
massive	0.02	0.4364285714	3.66051924
massive	0.02	0.5785714286	3.605576593
massive	0.02	0.7207142857	3.08038059
massive	0.02	0.8628571429	2.989238332
massive	0.02	1.005	5.820451426
massive	0.02	1.147142857	5.02414023
massive	0.02	1.289285714	4.273627869
massive	0.02	1.431428571	5.454351449
massive	0.02	1.573571429	4.726141402
massive	0.02	1.715714286	4.143122492
massive	0.02	1.857857143	3.829654559
massive	0.02	2	3.634020489
dwarf	0.05	0.01	4.731536862
dwarf	0.05	0.1521428571	3.181187173
dwarf	0.05	0.2942857143	3.328635845
dwarf	0.05	0.4364285714	2.77729975
dwarf	0.05	0.5785714286	2.876017903
dwarf	0.05	0.7207142857	2.033313367
dwarf	0.05	0.8628571429	1.848226391
dwarf	0.05	1.005	3.95378028
dwarf	0.05	1.147142857	2.696175897
dwarf	0.05	1.289285714	2.191876121
dwarf	0.05	1.431428571	1.472457816
dwarf	0.05	1.573571429	1.393903013
dwarf	0.05	1.715714286	1.369965143
dwarf	0.05	1.857857143	1.33083221
dwarf	0.05	2	1.387275614
massive	0.05	0.01	6.43586068
massive	0.05	0.1521428571	7.884644733
massive	0.05	0.2942857143	4.841453708
massive	0.05	0.4364285714	3.920827783
massive	0.05	0.5785714286	3.936174167
massive	0.05	0.7207142857	3.344521394
massive	0.05	0.8628571429	3.211073542
massive	0.05	1.005	5.275473084
massive	0.05	1.147142857	4.530640625
massive	0.05	1.289285714	3.955844287
massive	0.05	1.431428571	4.882661735
massive	0.05	1.573571429	4.288795419
massive	0.05	1.715714286	3.90930324
massive	0.05	1.857857143	3.617433863
massive	0.05	2	3.46255442
